path,hasLower,hasNum,base_size
fonts/ArgentumSans-Light.ttf,True,True,19.0
fonts/ArgentumSans-LightItalic.ttf,True,True,19.0
fonts/ArgentumSans-Medium.ttf,True,True,18.0
fonts/ArgentumSans-MediumItalic.ttf,True,True,18.0
fonts/ArgentumSans-Regular.ttf,True,True,19.0
fonts/ArgentumSans-SemiBold.ttf,True,True,18.0
fonts/ArgentumSans-SemiBoldItalic.ttf,True,True,18.0
fonts/ArgentumSans-Thin.ttf,True,True,19.0
fonts/ArgentumSans-ThinItalic.ttf,True,True,19.0
fonts/ArgosGeorgeContour.ttf,True,True,22.0
fonts/ArimaMadurai-Black.ttf,True,True,18.0
fonts/ArimaMadurai-Bold.ttf,True,True,19.0
fonts/ArimaMadurai-ExtraBold.ttf,True,True,19.0
fonts/ArimaMadurai-ExtraLight.ttf,True,True,19.0
fonts/ArimaMadurai-Light.ttf,True,True,19.0
fonts/ArimaMadurai-Medium.ttf,True,True,19.0
fonts/ArimaMadurai-Regular.ttf,True,True,19.0
fonts/ArimaMadurai-Thin.ttf,True,True,19.0
fonts/Arimo-Bold.ttf,True,True,19.0
fonts/Arimo-BoldItalic.ttf,True,True,19.0
fonts/Arimo-Italic.ttf,True,True,19.0
fonts/Arimo-Regular.ttf,True,True,19.0
fonts/Armata-Regular.ttf,True,True,17.0
fonts/Arnoia Display Italic.otf,True,True,19.0
fonts/Arnoia Display.otf,True,True,19.0
fonts/Artega.otf,True,True,14.0
fonts/Artifika-Regular.ttf,True,True,19.0
fonts/Arvin Bold Italic.ttf,True,True,21.0
fonts/Arvin Bold.ttf,True,True,21.0
fonts/Arvin Italic.ttf,True,True,22.0
fonts/Arvin Light Italic.ttf,True,True,22.0
fonts/Arvin Light.ttf,True,True,22.0
fonts/Arvin.ttf,True,True,22.0
fonts/Arvo-Bold.ttf,True,True,20.0
fonts/Arvo-BoldItalic.ttf,True,True,20.0
fonts/Arvo-Italic.ttf,True,True,20.0
fonts/Arvo-Regular.ttf,True,True,20.0
fonts/Asap-Bold.otf,True,True,19.0
fonts/Asap-Bold.ttf,True,True,19.0
fonts/Asap-BoldItalic.otf,True,True,19.0
fonts/Asap-BoldItalic.ttf,True,True,19.0
fonts/Asap-Italic.otf,True,True,19.0
fonts/Asap-Italic.ttf,True,True,19.0
fonts/Asap-Regular.otf,True,True,19.0
fonts/Asap-Regular.ttf,True,True,19.0
fonts/AsapCondensed-Bold.ttf,True,True,19.0
fonts/AsapCondensed-BoldItalic.ttf,True,True,19.0
fonts/AsapCondensed-Italic.ttf,True,True,19.0
fonts/AsapCondensed-Medium.ttf,True,True,19.0
fonts/AsapCondensed-MediumItalic.ttf,True,True,19.0
fonts/AsapCondensed-Regular.ttf,True,True,19.0
fonts/AsapCondensed-SemiBold.ttf,True,True,19.0
fonts/AsapCondensed-SemiBoldItalic.ttf,True,True,19.0
fonts/Asgalt-Regular.ttf,True,True,33.0
fonts/Ashfiana Oblique.otf,True,True,20.0
fonts/Ashfiana Oblique.ttf,True,True,20.0
fonts/Asket Condensed Extrabold.otf,True,True,20.0
fonts/Asket Condensed Extrabold.ttf,True,True,20.0
fonts/Asket Extended Light.otf,True,True,20.0
fonts/Asket Extended Light.ttf,True,True,20.0
fonts/Asket Extrabold.otf,True,True,20.0
fonts/Asket Extrabold.ttf,True,True,20.0
fonts/Asket Narrow Light.otf,True,True,20.0
fonts/Asket Narrow Light.ttf,True,True,20.0
fonts/Aspargo.ttf,True,True,31.0
fonts/Aspergit Bold Italic.otf,True,True,20.0
fonts/Aspergit Bold.otf,True,True,20.0
fonts/Assistant-Bold.ttf,True,True,20.0
fonts/Assistant-ExtraBold.ttf,True,True,20.0
fonts/Assistant-ExtraLight.ttf,True,True,20.0
fonts/Assistant-Light.ttf,True,True,20.0
fonts/Assistant-Regular.ttf,True,True,20.0
fonts/Assistant-SemiBold.ttf,True,True,20.0
fonts/Asul-Bold.ttf,True,True,20.0
fonts/Asul-Regular.ttf,True,True,20.0
fonts/AtlantisHeadline-Bold.otf,True,True,13.0
fonts/AtlantisHeadline-Bold.ttf,True,True,13.0
fonts/AtlantisText-Bold.otf,True,True,23.0
fonts/AtlantisText-Bold.ttf,True,True,23.0
fonts/AtomicAge-Regular.ttf,True,True,20.0
fonts/Aubrey-Regular.ttf,True,True,22.0
fonts/Audiowide-Regular.ttf,True,True,19.0
fonts/Aurach Heavy.ttf,True,True,17.0
fonts/AurelisADFNo2Std-Bold.otf,True,True,23.0
fonts/AurelisADFNo2Std-BoldItalic.otf,True,True,23.0
fonts/AurelisADFNo2Std-Regular.otf,True,True,23.0
fonts/AurelisADFScriptNo2Std-CdIta.otf,True,True,24.0
fonts/AurelisADFScriptNo2Std-ExtIt.otf,True,True,24.0
fonts/AutourOne-Regular.ttf,True,True,16.0
fonts/AvenueX-Regular.otf,True,True,22.0
fonts/Average-Regular.ttf,True,True,22.0
fonts/AverageSans-Regular.ttf,True,True,22.0
fonts/AveriaGruesaLibre-Regular.ttf,True,True,21.0
fonts/AveriaLibre-Bold.ttf,True,True,20.0
fonts/AveriaLibre-BoldItalic.ttf,True,True,21.0
fonts/AveriaLibre-Italic.ttf,True,True,22.0
fonts/AveriaLibre-Light.ttf,True,True,21.0
fonts/AveriaLibre-LightItalic.ttf,True,True,22.0
fonts/AveriaLibre-Regular.ttf,True,True,21.0
fonts/AveriaSansLibre-Bold.ttf,True,True,20.0
fonts/AveriaSansLibre-BoldItalic.ttf,True,True,20.0
fonts/AveriaSansLibre-Italic.ttf,True,True,21.0
fonts/AveriaSansLibre-Light.ttf,True,True,21.0
fonts/AveriaSansLibre-LightItalic.ttf,True,True,21.0
fonts/AveriaSansLibre-Regular.ttf,True,True,21.0
fonts/AveriaSerifLibre-Bold.ttf,True,True,21.0
fonts/AveriaSerifLibre-BoldItalic.ttf,True,True,22.0
fonts/AveriaSerifLibre-Italic.ttf,True,True,22.0
fonts/AveriaSerifLibre-Light.ttf,True,True,21.0
fonts/AveriaSerifLibre-LightItalic.ttf,True,True,22.0
fonts/AveriaSerifLibre-Regular.ttf,True,True,21.0
fonts/AvrileSans-Black.ttf,True,True,18.0
fonts/AvrileSans-BlackItalic.ttf,True,True,18.0
fonts/AvrileSans-Bold.ttf,True,True,18.0
fonts/AvrileSans-BoldItalic.ttf,True,True,18.0
fonts/AvrileSans-ExtraBold.ttf,True,True,18.0
fonts/AvrileSans-ExtraBoldItalic.ttf,True,True,18.0
fonts/AvrileSans-ExtraLight.ttf,True,True,18.0
fonts/AvrileSans-ExtraLightItalic.ttf,True,True,18.0
fonts/AvrileSans-Italic.ttf,True,True,18.0
fonts/AvrileSans-Light.ttf,True,True,18.0
fonts/AvrileSans-LightItalic.ttf,True,True,18.0
fonts/AvrileSans-Medium.ttf,True,True,18.0
fonts/AvrileSans-MediumItalic.ttf,True,True,18.0
fonts/AvrileSans-Regular.ttf,True,True,18.0
fonts/AvrileSans-SemiBold.ttf,True,True,18.0
fonts/AvrileSans-SemiBoldItalic.ttf,True,True,18.0
fonts/AvrileSans-Thin.ttf,True,True,18.0
fonts/AvrileSans-ThinItalic.ttf,True,True,19.0
fonts/AvrileSerif-Black.ttf,True,True,18.0
fonts/AvrileSerif-BlackItalic.ttf,True,True,18.0
fonts/AvrileSerif-Bold.ttf,True,True,18.0
fonts/AvrileSerif-BoldItalic.ttf,True,True,18.0
fonts/AvrileSerif-ExtraBold.ttf,True,True,18.0
fonts/AvrileSerif-ExtraBoldItalic.ttf,True,True,18.0
fonts/AvrileSerif-ExtraLight.ttf,True,True,18.0
fonts/AvrileSerif-ExtraLightItalic.ttf,True,True,18.0
fonts/AvrileSerif-Italic.ttf,True,True,18.0
fonts/AvrileSerif-Light.ttf,True,True,18.0
fonts/AvrileSerif-LightItalic.ttf,True,True,18.0
fonts/AvrileSerif-Medium.ttf,True,True,18.0
fonts/AvrileSerif-MediumItalic.ttf,True,True,18.0
fonts/AvrileSerif-Regular.ttf,True,True,18.0
fonts/AvrileSerif-SemiBold.ttf,True,True,18.0
fonts/AvrileSerif-SemiBoldItalic.ttf,True,True,18.0
fonts/AvrileSerif-Thin.ttf,True,True,18.0
fonts/AvrileSerif-ThinItalic.ttf,True,True,18.0
fonts/Awery.ttf,True,True,21.0
fonts/B20Sans.ttf,True,True,20.0
fonts/BERNN___.TTF,True,True,21.0
fonts/BETAD___.TTF,True,True,22.0
fonts/BEUNA LINE.ttf,True,True,16.0
fonts/BOLONEWT.TTF,True,True,18.0
fonts/BOMBARD_.otf,True,True,20.0
fonts/BOMBARD_.ttf,True,True,20.0
fonts/BOOTERFZ.ttf,True,True,33.0
fonts/BOOTEROF.ttf,True,True,33.0
fonts/BOOTEROZ.ttf,True,True,33.0
fonts/BOOTERZF.ttf,True,True,33.0
fonts/BOOTERZZ.ttf,True,True,33.0
fonts/BPdiet.otf,True,True,16.0
fonts/BPmono.ttf,True,True,20.0
fonts/BPmonoBold.ttf,True,True,20.0
fonts/BPmonoItalics.ttf,True,True,20.0
fonts/BPmouse.otf,True,True,16.0
fonts/BPpongGrunge.otf,True,True,16.0
fonts/BPreplayExtended.otf,True,True,17.0
fonts/BPreplayExtendedBold.otf,True,True,17.0
fonts/BPreplayExtendedBoldItalics.otf,True,True,17.0
fonts/BPreplayExtendedItalics.otf,True,True,17.0
fonts/BPtypewrite.otf,True,True,20.0
fonts/BPtypewriteDamaged.otf,True,True,20.0
fonts/BPtypewriteDamagedItalics.otf,True,True,20.0
fonts/BPtypewriteDamagedUnderscored.ttf,True,True,14.0
fonts/BPtypewriteDamagedUnderscoredItalics.ttf,True,True,14.0
fonts/BPtypewriteItalics.otf,True,True,20.0
fonts/BPtypewriteUnderscored.ttf,True,True,14.0
fonts/BPtypewriteUnderscoredItalics.ttf,True,True,14.0
fonts/BRASSI__.ttf,True,True,21.0
fonts/BStyle_R.otf,True,True,14.0
fonts/BStyle_R.ttf,True,True,14.0
fonts/Bagnard.otf,True,True,21.0
fonts/BagnardSans.otf,True,True,20.0
fonts/Baldur.ttf,True,True,19.0
