         2710492 function calls (2566112 primitive calls) in 3.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1128    0.000    0.000    0.000    0.000 parser.py:107(peek_event)
     1128    0.004    0.000    0.017    0.000 parser.py:273(parse_node)
   1128/2    0.002    0.000    0.093    0.047 composer.py:63(compose_node)
     1128    0.001    0.000    0.003    0.000 constructor.py:67(construct_object)
     1128    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
     1128    0.000    0.000    0.000    0.000 resolver.py:114(ascend_resolver)
     1128    0.002    0.000    0.003    0.000 resolver.py:143(resolve)
     1120    0.000    0.000    0.000    0.000 blocks.py:695(<genexpr>)
     1095    0.001    0.000    0.002    0.000 boxes.py:286(is_in_normal_flow)
     1064    0.001    0.000    0.001    0.000 __init__.py:124(__call__)
     1036    0.000    0.000    0.000    0.000 utils.py:144(<genexpr>)
     1036    0.000    0.000    0.000    0.000 __init__.py:81(_check_status)
     1036    0.001    0.000    0.002    0.000 _tokenizer.py:434(tagNameState)
     1024    0.002    0.000    0.003    0.000 scanner.py:295(save_possible_simple_key)
     1020    0.002    0.000    0.005    0.000 composer.py:88(compose_scalar_node)
     1020    0.000    0.000    0.000    0.000 constructor.py:117(construct_scalar)
     1020    0.000    0.000    0.001    0.000 constructor.py:173(construct_scalar)
     1020    0.000    0.000    0.000    0.000 nodes.py:27(__init__)
     1020    0.001    0.000    0.001    0.000 events.py:65(__init__)
     1020    0.002    0.000    0.002    0.000 tokens.py:98(__init__)
     1017    0.001    0.000    0.031    0.000 scanner.py:668(fetch_plain)
     1017    0.000    0.000    0.001    0.000 scanner.py:731(check_plain)
     1017    0.007    0.000    0.026    0.000 scanner.py:1270(scan_plain)
     1008    0.001    0.000    0.087    0.000 idtracking.py:37(analyze_node)
     1008    0.001    0.000    0.001    0.000 idtracking.py:152(__init__)
     1008    0.000    0.000    0.000    0.000 idtracking.py:210(__init__)
     1008    0.000    0.000    0.000    0.000 draw.py:129(get_color)
     1008    0.001    0.000    0.001    0.000 context.py:106(_check_status)
     1008    0.001    0.000    0.001    0.000 parser.py:290(skip)
  980/168    0.017    0.000    0.357    0.002 parser.py:887(subparse)
      980    0.001    0.000    0.003    0.000 compiler.py:1351(_output_child_pre)
      980    0.000    0.000    0.001    0.000 compiler.py:1365(_output_child_post)
      980    0.004    0.000    0.081    0.000 idtracking.py:155(_simple_visit)
  980/308    0.002    0.000    0.225    0.001 compiler.py:374(blockvisit)
      966    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      957    0.000    0.000    0.000    0.000 serializer.py:83(<genexpr>)
      952    0.000    0.000    0.001    0.000 constructor.py:402(construct_yaml_str)
      943    0.006    0.000    0.012    0.000 text.py:745(set_text)
      924    0.002    0.000    0.006    0.000 nodes.py:185(set_ctx)
      924    0.001    0.000    0.003    0.000 tree.py:218(iter_children)
      899    0.000    0.000    0.000    0.000 etree.py:48(_getName)
  896/504    0.003    0.000    0.327    0.001 parser.py:132(parse_statement)
      896    0.000    0.000    0.001    0.000 compiler.py:643(mark_parameter_stored)
      882    0.000    0.000    0.000    0.000 scanner.py:349(add_indent)
      882    0.006    0.000    0.020    0.000 percentages.py:58(resolve_percentages)
      859    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
      859    0.001    0.000    0.003    0.000 _dtype.py:319(_name_includes_bit_suffix)
      859    0.002    0.000    0.006    0.000 _dtype.py:333(_name_get)
      854    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
      853    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      846    0.001    0.000    0.002    0.000 numerictypes.py:365(issubdtype)
      843    0.002    0.000    0.014    0.000 _tokenizer.py:55(__iter__)
      840    0.048    0.000    0.089    0.000 __init__.py:599(computed_from_cascaded)
      840    0.001    0.000    0.002    0.000 ast.py:241(__init__)
      839    0.001    0.000    0.002    0.000 api.py:293(cast)
      839    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.cast}
      826    0.000    0.000    0.000    0.000 boxes.py:305(all_children)
  819/541    0.006    0.000    0.057    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  812/504    0.002    0.000    0.252    0.000 parser.py:160(parse_statements)
      787    0.001    0.000    0.006    0.000 _tokenizer.py:256(dataState)
      786    0.067    0.000    0.068    0.000 text.py:732(get_first_line)
      784    0.000    0.000    0.000    0.000 boxes.py:92(__init__)
      784    0.000    0.000    0.000    0.000 ast.py:207(__init__)
      759    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      756    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      728    0.000    0.000    0.000    0.000 parser.py:787(ensure)
      728    0.001    0.000    0.001    0.000 idtracking.py:25(__init__)
      728    0.002    0.000    0.003    0.000 compiler.py:137(__init__)
  728/364    0.000    0.000    0.000    0.000 build.py:696(wrap_improper)
      728    0.002    0.000    0.008    0.000 __init__.py:63(preprocess_declarations)
      728    0.000    0.000    0.000    0.000 _utils.py:78(__init__)
      728    0.000    0.000    0.001    0.000 _utils.py:72(__get__)
      710    0.002    0.000    0.003    0.000 text.py:589(get_size)
      700    0.000    0.000    0.000    0.000 lexer.py:349(push)
      700    0.001    0.000    0.008    0.000 lexer.py:353(look)
      675    0.000    0.000    0.000    0.000 etree.py:57(_getNamespace)
      672    0.002    0.000    0.065    0.000 compiler.py:113(find_undeclared)
      672    0.001    0.000    0.001    0.000 compiler.py:224(__init__)
      672    0.002    0.000    0.005    0.000 compiler.py:478(enter_frame)
      672    0.000    0.000    0.001    0.000 compiler.py:494(leave_frame)
      672    0.000    0.000    0.000    0.000 __init__.py:200(get_cascaded_styles)
      672    0.000    0.000    0.001    0.000 parser.py:279(next)
      671    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      670    0.001    0.000    0.048    0.000 parser.py:402(parse_indentless_sequence_entry)
      658    0.000    0.000    0.000    0.000 boxes.py:188(border_box_y)
      657    0.002    0.000    0.002    0.000 text.py:844(get_font_features)
      648    0.000    0.000    0.010    0.000 parser.py:264(parse_block_node)
      646    0.001    0.000    0.004    0.000 scanner.py:484(fetch_block_entry)
      646    0.000    0.000    0.001    0.000 scanner.py:690(check_document_start)
      646    0.000    0.000    0.000    0.000 scanner.py:706(check_block_entry)
      645    0.000    0.000    0.000    0.000 utils.py:345(<genexpr>)
      644    0.000    0.000    0.000    0.000 nodes.py:512(as_const)
      644    0.000    0.000    0.000    0.000 compiler.py:502(func)
      644    0.002    0.000    0.084    0.000 __init__.py:142(set_computed_styles)
      644    0.000    0.000    0.000    0.000 __init__.py:203(get_computed_styles)
      644    0.014    0.000    0.029    0.000 computed_values.py:182(compute)
      644    0.000    0.000    0.001    0.000 computed_values.py:450(column_gap)
      644    0.000    0.000    0.000    0.000 computed_values.py:563(display)
      644    0.001    0.000    0.001    0.000 html5parser.py:431(__init__)
      641    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
      629    0.015    0.000    0.026    0.000 text.py:653(setup)
      620    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      616    0.001    0.000    0.001    0.000 boxes.py:301(__init__)
      616    0.005    0.000    0.019    0.000 __init__.py:115(add_relevant_selectors)
      611    0.000    0.000    0.000    0.000 generic.py:10(_check)
      588    0.001    0.000    0.005    0.000 tree.py:232(iter_subtree)
      574    0.003    0.000    0.003    0.000 text.py:818(deactivate)
      563    0.000    0.000    0.001    0.000 {built-in method builtins.min}
      562    0.001    0.000    0.002    0.000 _inputstream.py:314(charsUntil)
      546    0.000    0.000    0.000    0.000 float.py:157(<listcomp>)
      546    0.000    0.000    0.000    0.000 float.py:161(<listcomp>)
