path,hasLower,hasNums,hasBrackets,base_size
fonts/AgreloyInB1.otf,False,True,True,82
fonts/AgreloyInB1.ttf,False,True,True,84
fonts/AgreloyInT3.otf,False,True,True,44
fonts/AgreloyInT3.ttf,False,True,True,58
fonts/AgreloyOut1.otf,False,True,True,29
fonts/AgreloyOut1.ttf,False,True,True,28
fonts/AgreloyS1.otf,False,True,True,26
fonts/AgreloyS1.ttf,False,True,True,29
fonts/AguafinaScript-Regular.ttf,True,True,True,16
fonts/Aika-Bold.otf,True,True,False,18
fonts/Aika-Bold.ttf,True,True,False,21
fonts/Aika-BoldItalic.otf,True,True,False,19
fonts/Aika-BoldItalic.ttf,True,True,False,19
fonts/Aika-Italic.otf,True,True,False,19
fonts/Aika-Italic.ttf,True,True,False,19
fonts/Aika-Regular.otf,True,True,False,19
fonts/Aika-Regular.ttf,True,True,False,18
fonts/Aileron-Black.otf,True,True,True,26
fonts/Aileron-BlackItalic.otf,True,True,True,25
fonts/Aileron-Bold.otf,True,True,True,25
fonts/Aileron-BoldItalic.otf,True,True,True,25
fonts/Aileron-Heavy.otf,True,True,True,25
fonts/Aileron-HeavyItalic.otf,True,True,True,27
fonts/Aileron-Italic.otf,True,True,True,26
fonts/Aileron-Light.otf,True,True,True,27
fonts/Aileron-LightItalic.otf,True,True,True,25
fonts/Aileron-Regular.otf,True,True,True,25
fonts/Aileron-SemiBold.otf,True,True,True,27
fonts/Aileron-SemiBoldItalic.otf,True,True,True,25
fonts/Aileron-Thin.otf,True,True,True,25
fonts/Aileron-ThinItalic.otf,True,True,True,26
fonts/Aileron-UltraLight.otf,True,True,True,28
fonts/Aileron-UltraLightItalic.otf,True,True,True,25
fonts/Air Americana.ttf,False,True,True,31
fonts/Airbrush.otf,False,True,False,32
fonts/Airbrush.ttf,False,True,False,33
fonts/Airstream Futuropolis Regular Mac.ttf,True,True,True,25
fonts/Airstream Futuropolis Regular.ttf,True,True,True,25
fonts/AirstreamNF.otf,True,True,True,27
fonts/AirstreamNF.ttf,True,True,True,26
fonts/Akong_agi.ttf,True,True,True,23
fonts/Akura Popo.otf,True,True,True,31
fonts/Akura Popo.ttf,True,True,True,31
fonts/Aladin-Regular.ttf,True,True,True,23
fonts/Alanden_.ttf,True,True,False,28
fonts/AlanisHand.ttf,True,True,True,27
fonts/Alanus.ttf,True,True,True,30
fonts/AlbertText-Bold.ttf,True,True,True,25
fonts/Albumme Smooth.ttf,True,False,False,24
fonts/Aldrich-Regular.ttf,True,True,True,27
fonts/Alef-Bold.ttf,True,True,True,26
fonts/Alef-Regular.ttf,True,True,True,27
fonts/Alegreya-Black.ttf,True,True,True,25
fonts/Alegreya-BlackItalic.ttf,True,True,True,25
fonts/Alegreya-Bold.ttf,True,True,True,26
fonts/Alegreya-BoldItalic.ttf,True,True,True,25
fonts/Alegreya-Italic.ttf,True,True,True,25
fonts/Alegreya-Regular.ttf,True,True,True,24
fonts/AlegreyaSC-Black.ttf,True,True,True,30
fonts/AlegreyaSC-BlackItalic.ttf,True,True,True,31
fonts/AlegreyaSC-Bold.ttf,True,True,True,33
fonts/AlegreyaSC-BoldItalic.ttf,True,True,True,30
fonts/AlegreyaSC-Italic.ttf,True,True,True,34
fonts/AlegreyaSC-Regular.ttf,True,True,True,32
fonts/AlegreyaSans-Black.ttf,True,True,True,26
fonts/AlegreyaSans-BlackItalic.ttf,True,True,True,27
fonts/AlegreyaSans-Bold.ttf,True,True,True,25
fonts/AlegreyaSans-BoldItalic.ttf,True,True,True,27
fonts/AlegreyaSans-ExtraBold.ttf,True,True,True,28
fonts/AlegreyaSans-ExtraBoldItalic.ttf,True,True,True,27
fonts/AlegreyaSans-Italic.ttf,True,True,True,27
fonts/AlegreyaSans-Light.ttf,True,True,True,29
fonts/AlegreyaSans-LightItalic.ttf,True,True,True,28
fonts/AlegreyaSans-Medium.ttf,True,True,True,27
fonts/AlegreyaSans-MediumItalic.ttf,True,True,True,28
fonts/AlegreyaSans-Regular.ttf,True,True,True,27
fonts/AlegreyaSans-Thin.ttf,True,True,True,26
fonts/AlegreyaSans-ThinItalic.ttf,True,True,True,27
fonts/AlegreyaSansSC-Black.ttf,True,True,True,35
fonts/AlegreyaSansSC-BlackItalic.ttf,True,True,True,31
fonts/AlegreyaSansSC-Bold.ttf,True,True,True,33
fonts/AlegreyaSansSC-BoldItalic.ttf,True,True,True,33
fonts/AlegreyaSansSC-ExtraBold.ttf,True,True,True,35
fonts/AlegreyaSansSC-ExtraBoldItalic.ttf,True,True,True,31
fonts/AlegreyaSansSC-Italic.ttf,True,True,True,35
fonts/AlegreyaSansSC-Light.ttf,True,True,True,35
fonts/AlegreyaSansSC-LightItalic.ttf,True,True,True,35
fonts/AlegreyaSansSC-Medium.ttf,True,True,True,33
fonts/AlegreyaSansSC-MediumItalic.ttf,True,True,True,32
fonts/AlegreyaSansSC-Regular.ttf,True,True,True,33
fonts/AlegreyaSansSC-Thin.ttf,True,True,True,33
fonts/AlegreyaSansSC-ThinItalic.ttf,True,True,True,35
fonts/Aleo-Bold.otf,True,True,True,26
fonts/Aleo-BoldItalic.otf,True,True,True,26
fonts/Aleo-Italic.otf,True,True,True,27
fonts/Aleo-Light.otf,True,True,True,27
fonts/Aleo-LightItalic.otf,True,True,True,27
fonts/Aleo-Regular.otf,True,True,True,27
fonts/AlexBrush-Regular.ttf,True,True,True,29
fonts/AlfaSlabOne-Regular.ttf,True,True,True,23
fonts/Alfabilder.ttf,True,True,True,23
fonts/Alice in Wonderland.ttf,True,True,True,27
fonts/Aliensatemymum.ttf,True,True,True,27
fonts/Alike-Regular.ttf,True,True,True,24
fonts/AlikeAngular-Regular.ttf,True,True,True,24
fonts/Allan-Bold.ttf,True,True,True,26
fonts/Allan-Regular.ttf,True,True,True,25
fonts/AllerDisplay_Std_Rg.ttf,True,True,True,28
fonts/Aller_Std_Bd.ttf,True,True,True,24
fonts/Aller_Std_BdIt.ttf,True,True,True,25
fonts/Aller_Std_It.ttf,True,True,True,25
fonts/Aller_Std_Lt.ttf,True,True,True,25
fonts/Aller_Std_LtIt.ttf,True,True,True,24
fonts/Aller_Std_Rg.ttf,True,True,True,24
fonts/Allura-Regular.ttf,True,True,True,25
fonts/Almendra-Bold.ttf,True,True,True,26
fonts/Almendra-BoldItalic.ttf,True,True,True,25
fonts/Almendra-Italic.ttf,True,True,True,26
fonts/Almendra-Regular.ttf,True,True,True,26
fonts/AlmendraDisplay-Regular.ttf,True,True,True,23
fonts/AlmendraSC-Regular.ttf,True,True,True,31
fonts/AlnairStar-Regular.ttf,True,True,True,31
fonts/Alpenkreuzer.ttf,False,True,False,35
fonts/Alpha54.ttf,True,True,True,19
fonts/AlphaRemember.ttf,False,True,False,25
fonts/AlphaSausage.ttf,False,True,False,30
fonts/AlphaThin.ttf,True,True,False,27
fonts/AlphabeticSprinkles.ttf,True,True,True,29
fonts/AlphabeticSprinklesLight.ttf,True,True,True,30
fonts/Alphahate.ttf,True,True,False,28
fonts/Alphd___.ttf,True,True,True,24
fonts/Alpine.ttf,True,True,True,24
fonts/Alte Caps.ttf,False,True,False,30
fonts/AlteHaasGroteskBold.ttf,True,True,True,25
fonts/AlteHaasGroteskRegular.ttf,True,True,True,26
fonts/AlteSchwabacher-DemiBold.ttf,True,True,True,25
fonts/AlteSchwabacher-Shadow.ttf,True,True,True,24
fonts/AlteSchwabacher.ttf,True,True,True,26
fonts/AlteSchwabacherOSF-DemiBold.ttf,True,True,True,24
fonts/AlteSchwabacherOSF.ttf,True,True,True,26
fonts/Altgotisch.ttf,True,True,True,23
fonts/Always Together.otf,True,True,True,22
fonts/Amarante-Regular.ttf,True,True,True,25
fonts/Amaranth-Bold.ttf,True,True,True,26
fonts/Amaranth-BoldItalic.ttf,True,True,True,26
