path,hasLower,hasNums,hasBrackets
fonts/Alpha54.ttf,True,True,True
fonts/AlphaRemember.ttf,False,True,False
fonts/AlphaSausage.ttf,False,True,False
fonts/AlphaThin.ttf,True,True,False
fonts/AlphabeticSprinkles.ttf,True,True,True
fonts/AlphabeticSprinklesLight.ttf,True,True,True
fonts/Alphahate.ttf,True,True,False
fonts/Alphd___.ttf,True,True,True
fonts/Alpine.ttf,True,True,True
fonts/Alte Caps.ttf,False,True,False
fonts/AlteHaasGroteskBold.ttf,True,True,True
fonts/AlteHaasGroteskRegular.ttf,True,True,True
fonts/AlteSchwabacher-DemiBold.ttf,True,True,True
fonts/AlteSchwabacher-Shadow.ttf,True,True,True
fonts/AlteSchwabacher.ttf,True,True,True
fonts/AlteSchwabacherOSF-DemiBold.ttf,True,True,True
fonts/AlteSchwabacherOSF.ttf,True,True,True
fonts/Altgotisch.ttf,True,True,True
fonts/Always Together.otf,True,True,True
fonts/Amarante-Regular.ttf,True,True,True
fonts/Amaranth-Bold.ttf,True,True,True
fonts/Amaranth-BoldItalic.ttf,True,True,True
fonts/Amaranth-Italic.ttf,True,True,True
fonts/Amaranth-Regular.ttf,True,True,True
fonts/Amatic-Bold.ttf,True,True,True
fonts/Amatic-Regular.ttf,True,True,True
fonts/AmaticSC-Bold.ttf,True,True,True
fonts/AmaticSC-Regular.ttf,True,True,True
fonts/Amazonas.ttf,True,True,True
fonts/Ambrosia.ttf,True,True,True
fonts/Amburegul.otf,True,True,False
fonts/AmburegulSmall.otf,False,True,False
fonts/AmericanStencil.otf,False,True,True
fonts/AmericanText.ttf,True,True,True
fonts/Amethysta-Regular.ttf,True,True,True
fonts/Amiko-Bold.ttf,True,True,True
fonts/Amiko-Regular.ttf,True,True,True
fonts/Amiko-SemiBold.ttf,True,True,True
fonts/Ampad 3D.otf,True,True,True
fonts/Ampad 3D2.ttf,True,True,True
fonts/Ampad Brush.ttf,True,True,True
fonts/Ampad Solid.ttf,True,True,True
fonts/Amptmann Script.ttf,True,True,True
fonts/AmstelHeavyNF.ttf,False,True,False
fonts/AmsterdamTangram.ttf,False,True,False
fonts/Amsterdrum Grotesk.ttf,True,True,True
fonts/AnAkronism.ttf,True,True,True
fonts/AnagramNF.otf,False,True,True
fonts/AnagramNF.ttf,False,True,True
fonts/AnagramNFShadow.otf,False,True,True
fonts/AnagramNFShadow.ttf,False,True,True
fonts/AnchorSteamNF.otf,True,True,True
fonts/AnchorSteamNF.ttf,True,True,True
fonts/Ancient God.ttf,True,True,True
fonts/Andada-Bold.otf,True,True,True
fonts/Andada-BoldItalic.otf,True,True,True
fonts/Andada-Italic.otf,True,True,True
fonts/Andada-Regular.otf,True,True,True
fonts/AndadaSC-Bold.otf,True,True,True
fonts/AndadaSC-BoldItalic.otf,True,True,True
fonts/AndadaSC-Italic.otf,True,True,True
fonts/AndadaSC-Regular.otf,True,True,True
fonts/Andala-Bold.ttf,True,True,True
fonts/Andala-BoldItalic.ttf,True,True,True
fonts/Andala-Italic.ttf,True,True,True
fonts/Andala.ttf,True,True,True
fonts/Andika-R.ttf,True,True,True
fonts/AndironOutlineNF.otf,False,True,True
fonts/AndironOutlineNF.ttf,False,True,True
fonts/Andrade-Swash.otf,True,False,False
fonts/Andrade-Swash.ttf,True,False,False
fonts/Android Insomnia Regular.ttf,True,True,True
fonts/AndromedaTV.TTF,True,True,True
fonts/Aneirin.ttf,False,True,False
fonts/Angel.ttf,False,True,True
fonts/AnglicanText.ttf,True,True,True
